5
Time taken in solving the query is:  0.31074976921081543  seconds. 
The query was:  sat
e1220 --->  0
e274 --->  0
e4834 --->  0
e1635 --->  0
e2711 --->  0
e3432 --->  0
e1425 --->  0
e3221 --->  0
e4340 --->  0
e3349 --->  0
e3438 --->  0
e3248 --->  0
e2629 --->  0
e3219 --->  0
e2120 --->  0
e3840 --->  0
e4629 --->  0
e1746 --->  0
e1523 --->  0
e017 --->  0
e358 --->  0
e518 --->  0
e155 --->  0
e2713 --->  0
e87 --->  0
e383 --->  0
e2817 --->  0
e3346 --->  0
e2513 --->  0
e618 --->  0
e1434 --->  0
e1429 --->  0
e2317 --->  0
e4437 --->  0
e3935 --->  0
e417 --->  0
e1537 --->  0
e4118 --->  0
e3214 --->  0
e4448 --->  0
e4035 --->  0
e928 --->  0
e4831 --->  0
e948 --->  0
e1331 --->  0
e85 --->  0
e520 --->  0
e1938 --->  0
e61 --->  0
e3126 --->  0
e1830 --->  0
e398 --->  0
e2939 --->  0
e320 --->  0
e1110 --->  0
e020 --->  0
e1912 --->  0
e257 --->  0
e104 --->  0
e4215 --->  0
e1413 --->  0
e1648 --->  0
e1828 --->  0
e00 --->  0
e386 --->  0
e3648 --->  0
e723 --->  0
e3330 --->  0
e21 --->  0
e4525 --->  0
e1320 --->  0
e284 --->  0
e2448 --->  0
e2543 --->  0
e3246 --->  0
e1414 --->  0
e3429 --->  0
e811 --->  0
e4429 --->  0
e2828 --->  0
e3134 --->  0
e3249 --->  0
e07 --->  0
e510 --->  0
e1718 --->  0
e2021 --->  0
e4149 --->  0
e378 --->  0
e3811 --->  0
e3620 --->  0
e4241 --->  0
e748 --->  0
e2412 --->  0
e4231 --->  0
e1814 --->  0
e727 --->  0
e250 --->  0
e1046 --->  0
e1715 --->  0
e2149 --->  0
e1214 --->  0
e2936 --->  0
e136 --->  0
e1626 --->  0
e1540 --->  0
e140 --->  1/256
e138 --->  0
e1532 --->  0
e3728 --->  0
e1126 --->  0
e487 --->  0
e4716 --->  0
e043 --->  0
e2146 --->  0
e643 --->  0
e3129 --->  0
e3711 --->  0
e3515 --->  0
e13 --->  0
e254 --->  0
e628 --->  0
e4223 --->  0
e3329 --->  0
e4620 --->  0
e4219 --->  0
e847 --->  0
e3424 --->  0
e230 --->  0
e196 --->  0
e1949 --->  0
e2414 --->  0
e3033 --->  0
e322 --->  0
e4122 --->  0
e829 --->  0
e1847 --->  0
e4718 --->  0
e1444 --->  0
e424 --->  0
e389 --->  0
e731 --->  0
e3337 --->  0
e4916 --->  0
